City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,5.81,45,40,2.06,AR,1721854483
1,grytviken,-54.2811,-36.5092,-3.23,93,100,2.36,GS,1721854468
2,dalandzadgad,43.5708,104.425,18.16,54,63,6.06,MN,1721854518
3,port-aux-francais,-49.35,70.2167,2.87,80,23,10.96,TF,1721854443
4,albany,42.6001,-73.9662,26.99,75,99,0.89,US,1721854227
5,iqaluit,63.7506,-68.5145,8.85,87,100,6.17,CA,1721854505
6,fujin,47.26,132.0322,19.46,87,100,2.14,CN,1721854522
7,turuntayevo,52.2,107.6167,18.05,99,100,1.9,RU,1721854524
8,port alfred,-33.5906,26.891,12.88,95,100,0.45,ZA,1721854525
9,afaahiti,-17.75,-149.2833,24.93,70,7,6.32,PF,1721854487
10,atafu village,-8.5421,-172.5159,28.32,77,86,4.54,TK,1721854528
11,georgetown,5.4112,100.3354,27.96,83,20,0.51,MY,1721854347
12,olovyannaya,50.95,115.5667,18.24,72,100,2.56,RU,1721854531
13,adamstown,-25.066,-130.1015,19.17,61,61,6.91,PN,1721854461
14,yellowknife,62.456,-114.3525,15.29,67,100,7.72,CA,1721854174
15,nabire,-3.3667,135.4833,23.36,94,96,1.1,ID,1721854534
16,kourou,5.1552,-52.6478,30.03,74,97,2.53,GF,1721854535
17,harstad,68.799,16.5293,13.47,91,65,1.79,NO,1721854536
18,aykhal,66.0,111.5,10.96,72,100,7.68,RU,1721854538
19,acambaro,20.0333,-100.7333,23.92,70,100,1.31,MX,1721854256
20,mohr,54.3528,9.7167,14.52,81,0,3.09,DE,1721854540
21,puerto ayora,-0.7393,-90.3518,26.98,75,42,4.71,EC,1721854469
22,tromso,69.6496,18.957,12.01,87,75,4.63,NO,1721854542
23,chonchi,-42.6128,-73.8092,10.07,84,100,5.6,CL,1721854543
24,acajutla,13.5928,-89.8275,28.76,78,15,3.07,SV,1721854545
25,waitangi,-43.9535,-176.5597,9.9,97,100,4.02,NZ,1721854546
26,luderitz,-26.6481,15.1594,14.23,59,38,4.57,NA,1721854547
27,blackmans bay,-43.0167,147.3167,13.18,66,100,0.45,AU,1721854379
28,necochea,-38.5473,-58.7368,14.95,52,9,4.09,AR,1721854549
29,molepolole,-24.4066,25.4951,9.08,11,46,3.96,BW,1721854550
30,namibe,-15.1961,12.1522,16.58,87,68,0.54,AO,1721854552
31,puerto natales,-51.7236,-72.4875,6.25,56,75,3.09,CL,1721854503
32,edinburgh of the seven seas,-37.0676,-12.3116,10.88,72,49,17.46,SH,1721854476
33,severnoye,56.3491,78.3619,13.41,98,100,2.85,RU,1721854555
34,isafjordur,66.0755,-23.124,10.12,92,100,2.21,IS,1721854492
35,pekan,3.4836,103.3996,27.06,94,91,2.39,MY,1721854558
36,hasaki,35.7333,140.8333,27.22,87,100,2.55,JP,1721854560
37,thompson,55.7435,-97.8558,26.09,47,75,4.12,CA,1721854561
38,tolanaro,-25.0319,46.9987,22.04,73,20,7.2,MG,1721854562
39,nagqu,31.5,92.0,5.15,94,97,1.76,CN,1721854563
40,trondheim,63.4305,10.3951,15.03,85,59,0.82,NO,1721854564
41,bethel,41.3712,-73.414,26.6,79,75,3.09,US,1721854457
42,college,64.8569,-147.8028,27.26,49,75,0.89,US,1721854546
43,arnage,47.9262,0.1878,22.07,64,0,1.03,FR,1721854568
44,ilulissat,69.2167,-51.1,6.01,93,75,1.54,GL,1721854570
45,vila franca do campo,37.7167,-25.4333,23.23,86,79,0.83,PT,1721854571
46,invercargill,-46.4,168.35,5.57,95,21,1.34,NZ,1721854539
47,amga,60.8953,131.9608,18.48,84,99,0.01,RU,1721854574
48,monrovia,6.3005,-10.7969,25.87,77,91,4.02,LR,1721854575
49,palikir - national government center,6.9248,158.1611,23.41,94,100,1.54,FM,1721854576
50,broome,42.2506,-75.833,25.93,72,100,2.59,US,1721854577
51,richards bay,-28.783,32.0377,19.16,63,47,5.12,ZA,1721854578
52,plastun,44.7561,136.2939,17.03,96,100,0.32,RU,1721854580
53,constantia,44.1833,28.65,22.61,67,50,1.75,RO,1721854464
54,klyuchi,52.2667,79.1667,20.14,86,99,2.76,RU,1721854582
55,khamis mushait,18.3064,42.7292,20.58,64,40,4.12,SA,1721854583
56,hithadhoo,-0.6,73.0833,28.77,76,56,6.2,MV,1721854584
57,bilibino,68.0546,166.4372,4.8,91,100,3.26,RU,1721854376
58,port douglas,-16.4833,145.4667,21.43,84,64,4.19,AU,1721854406
59,whitehorse,60.7161,-135.0538,20.43,77,75,4.63,CA,1721854588
60,kirensk,57.7853,108.1119,17.4,91,91,1.6,RU,1721854589
61,olonkinbyen,70.9221,-8.7187,4.81,98,100,7.49,SJ,1721854462
62,siwa oasis,29.2041,25.5195,33.51,30,0,6.04,EG,1721854592
63,tura,25.5198,90.2201,25.1,97,100,2.54,IN,1721854593
64,lerwick,60.1545,-1.1494,14.0,84,98,8.02,GB,1721854594
65,hilo,19.7297,-155.09,27.27,81,100,3.6,US,1721854317
66,manaus,-3.1019,-60.025,33.28,49,0,3.6,BR,1721854597
67,yahyali,38.1023,35.357,19.94,55,36,0.61,TR,1721854598
68,lebu,-37.6167,-73.65,12.05,82,100,5.58,CL,1721854513
69,wailua homesteads,22.0669,-159.378,26.74,86,23,3.13,US,1721854523
70,bredasdorp,-34.5322,20.0403,10.65,85,90,1.18,ZA,1721854512
71,meadow lakes,61.6247,-149.6011,20.61,76,75,0.45,US,1721854602
72,port lincoln,-34.7333,135.8667,10.46,76,6,5.54,AU,1721854604
73,east london,-33.0153,27.9116,15.11,80,100,5.53,ZA,1721854480
74,ust-nera,64.5667,143.2,11.71,68,100,1.99,RU,1721854606
75,kuala belait,4.5833,114.1833,25.09,87,100,2.19,BN,1721854607
76,san miguel,13.4833,-88.1833,33.03,52,1,1.44,SV,1721854608
77,baruun-urt,46.6806,113.2792,17.61,96,100,3.4,MN,1721854609
78,kapa'a,22.0752,-159.319,27.49,71,16,3.13,US,1721854611
79,la passe,45.5549,-0.8967,22.13,87,1,3.51,FR,1721854612
80,auki,-8.7676,160.7034,26.17,85,21,1.76,SB,1721854522
81,west island,-12.1568,96.8225,25.99,65,20,6.69,CC,1721854472
82,nahiyat al fuhud,30.9697,46.7228,38.27,14,0,4.38,IQ,1721854615
83,guayaramerin,-10.8368,-65.3614,34.67,25,20,0.78,BO,1721854616
84,qarah bagh,34.9402,61.7759,26.23,27,0,2.52,AF,1721854618
85,pisco,-13.7,-76.2167,18.03,77,100,5.14,PE,1721854619
86,salinopolis,-0.6136,-47.3561,27.27,79,17,6.5,BR,1721854620
87,hawaiian paradise park,19.5933,-154.9731,27.15,79,100,3.6,US,1721854485
88,demre,36.2537,29.9777,26.55,70,1,1.26,TR,1721854622
89,taber,49.8167,-112.1518,33.0,15,0,2.06,CA,1721854623
90,iskateley,67.6803,53.1512,11.28,73,90,3.73,RU,1721854612
91,okha,53.5739,142.9478,11.93,97,99,4.89,RU,1721854549
92,egilsstadir,65.2653,-14.3948,13.95,72,75,8.23,IS,1721854628
93,carlsbad,33.1581,-117.3506,35.13,65,0,5.14,US,1721854629
94,mersa matruh,31.3525,27.2453,28.11,74,0,3.09,EG,1721854630
95,st. john's,47.5649,-52.7093,20.66,75,20,3.6,CA,1721854580
96,avarua,-21.2078,-159.775,25.03,69,75,4.12,CK,1721854633
97,ribeira grande,38.5167,-28.7,25.22,69,20,3.6,PT,1721854508
98,happy valley-goose bay,53.3168,-60.3315,23.17,38,75,4.63,CA,1721854635
99,buka,40.8108,69.1986,27.59,25,0,2.47,UZ,1721854636
100,hobyo,5.3505,48.5268,24.63,83,100,11.89,SO,1721854463
101,greenville,35.6127,-77.3663,32.09,75,40,3.6,US,1721854638
102,tiksi,71.6872,128.8694,4.63,82,76,5.1,RU,1721854640
103,papatowai,-46.5619,169.4708,7.9,85,20,3.4,NZ,1721854641
104,vilyuchinsk,52.9306,158.4028,11.15,93,100,2.26,RU,1721854620
105,miyazu,35.5333,135.1833,23.93,94,100,2.48,JP,1721854643
106,zaozersk,69.4005,32.4476,14.82,71,1,4.18,RU,1721854644
107,mournies,35.4764,24.0092,40.04,69,0,3.6,GR,1721854645
108,craig,40.5153,-107.5464,32.97,15,0,1.54,US,1721854647
109,shamakhi,40.6314,48.6414,21.03,82,100,1.66,AZ,1721854648
110,carnarvon,-24.8667,113.6333,13.82,59,0,6.54,AU,1721854534
111,erdenet,49.0333,104.0833,12.32,91,71,1.82,MN,1721854650
112,megara,38.0,23.3456,30.37,30,20,0.0,GR,1721854651
113,margaret river,-33.95,115.0667,13.98,65,100,7.99,AU,1721854548
114,north bend,43.4065,-124.2243,24.02,68,0,10.29,US,1721854654
115,colonia,50.9333,6.95,18.79,76,0,1.54,DE,1721854466
116,kupang,-10.1667,123.5833,24.32,88,39,1.54,ID,1721854656
117,asahi,35.7167,140.65,27.21,77,100,1.77,JP,1721854657
118,pamanukan,-6.2842,107.8106,25.3,72,97,1.12,ID,1721854658
119,howard springs,-12.497,131.047,22.95,91,98,1.86,AU,1721854660
120,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1721854661
121,talnakh,69.4865,88.3972,11.75,86,91,1.08,RU,1721854502
122,mejit,10.2753,170.8646,28.59,77,73,6.42,MH,1721854663
123,touros,-5.1989,-35.4608,24.0,68,37,5.78,BR,1721854515
124,fort bragg,35.139,-79.006,33.84,61,75,4.63,US,1721854665
125,gamba,-2.65,10.0,20.98,92,7,1.97,GA,1721854667
126,punta arenas,-53.15,-70.9167,4.06,75,75,6.69,CL,1721854668
127,qarauyl,48.9451,79.255,21.23,57,70,1.82,KZ,1721854669
128,sao paulo de olivenca,-3.3783,-68.8725,30.04,63,100,0.48,BR,1721854670
129,kiunga,-6.1219,141.2906,22.61,99,100,0.9,PG,1721854671
130,port mathurin,-19.6833,63.4167,22.46,73,0,6.08,MU,1721854672
131,port saint john's,-31.6229,29.5448,16.05,73,93,6.9,ZA,1721854674
132,hammerfest,70.6634,23.6821,11.25,93,75,2.57,NO,1721854676
133,angra do heroismo,38.65,-27.2167,25.62,80,20,1.34,PT,1721854677
134,udachny,66.4167,112.4,11.95,72,100,8.03,RU,1721854653
135,yilan,24.757,121.753,28.28,97,100,13.83,TW,1721854680
136,medicine hat,50.0501,-110.6683,36.84,9,0,5.66,CA,1721854681
137,mandalgovi,45.7625,106.2708,15.27,73,100,6.18,MN,1721854682
138,chambas,22.1928,-78.9136,33.7,44,11,7.83,CU,1721854683
139,callao,-12.0667,-77.15,23.18,81,51,4.35,PE,1721854558
140,ulladulla,-35.35,150.4667,12.11,56,100,3.38,AU,1721854685
141,mirik,26.8945,88.1848,19.28,93,77,1.47,IN,1721854687
142,whakatane,-37.9585,176.9854,10.43,73,8,2.53,NZ,1721854688
143,bac kan,22.1333,105.8333,24.33,99,29,0.78,VN,1721854689
144,longyearbyen,78.2186,15.6401,8.91,87,75,3.6,SJ,1721854540
145,alotau,-10.3069,150.4462,23.91,95,100,2.58,PG,1721854691
146,hermanus,-34.4187,19.2345,11.56,88,21,2.77,ZA,1721854473
147,kangding,30.0513,101.9603,17.0,97,99,0.41,CN,1721854694
148,stanley,54.868,-1.6985,16.27,82,40,2.06,GB,1721854507
149,dudinka,69.4058,86.1778,11.4,84,100,7.69,RU,1721854696
150,huilong,31.8111,121.655,26.86,91,7,6.91,CN,1721854697
151,shaoxing,30.011,120.5715,28.97,84,29,3.91,CN,1721854698
152,gore,-46.1028,168.9436,6.85,93,29,1.27,NZ,1721854699
153,san antonio de pale,-1.4014,5.6325,23.34,82,83,4.82,GQ,1721854645
154,haiku-pauwela,20.9219,-156.3051,27.01,71,40,10.29,US,1721854702
155,mmabatho,-25.85,25.6333,7.98,18,34,3.09,ZA,1721854704
156,port elizabeth,-33.918,25.5701,13.39,93,75,2.06,ZA,1721854705
157,villa gesell,-37.2639,-56.973,15.03,96,80,6.81,AR,1721854706
158,fort walton beach,30.4058,-86.6188,32.24,76,20,5.66,US,1721854708
159,badger,64.8,-147.5333,27.21,51,40,0.45,US,1721854450
160,newman,37.3138,-121.0208,40.69,15,4,1.89,US,1721854710
161,nuuk,64.1835,-51.7216,5.49,93,100,15.2,GL,1721854711
162,cuyo,10.8525,121.0086,28.79,81,100,8.31,PH,1721854712
163,minas de marcona,-15.2119,-75.1103,13.98,70,10,7.2,PE,1721854585
164,sanctuary point,-35.1114,150.629,12.89,55,85,3.08,AU,1721854714
165,turinsk,58.0458,63.696,11.14,72,71,2.43,RU,1721854716
166,enewetak,11.3474,162.3373,28.68,74,58,6.12,MH,1721854664
167,sao vicente,-23.9631,-46.3919,25.71,66,4,1.54,BR,1721854718
168,uturoa,-16.7333,-151.4333,25.26,73,49,7.84,PF,1721854705
169,basco,20.4487,121.9702,28.77,87,100,17.81,PH,1721854720
170,suva,-18.1416,178.4415,25.71,83,75,5.14,FJ,1721854721
171,mora,11.0461,14.1401,27.2,68,100,0.48,CM,1721854436
172,ipatovo,45.7181,42.9036,20.28,69,4,1.68,RU,1721854724
173,cowra,-33.8333,148.6833,5.97,74,91,1.89,AU,1721854725
174,dunedin,-45.8742,170.5036,10.45,66,57,2.48,NZ,1721854726
175,sagua la grande,22.8067,-80.0756,32.59,54,0,7.23,CU,1721854727
176,acapulco de juarez,16.8634,-99.8901,31.9,62,20,3.6,MX,1721854441
177,toba,34.4833,136.85,26.0,85,100,0.89,JP,1721854730
178,vorgashor,67.5833,63.95,6.27,75,17,5.1,RU,1721854731
179,jamestown,42.097,-79.2353,25.77,75,0,2.24,US,1721854603
180,bocas del toro,9.3333,-82.25,26.7,76,68,6.05,PA,1721854733
181,cafayate,-26.073,-65.9761,18.57,29,0,5.04,AR,1721854734
182,charters towers,-20.1,146.2667,16.67,72,86,4.75,AU,1721854735
183,luganville,-15.5333,167.1667,23.23,88,97,6.66,VU,1721854737
184,batalha,-9.6778,-37.1247,20.56,76,2,3.17,BR,1721854738
185,minot air force base,48.4209,-101.3391,31.1,54,20,7.72,US,1721854739
186,savannah,32.0835,-81.0998,32.86,67,75,5.66,US,1721854740
187,hamilton,39.1834,-84.5333,30.36,58,75,5.66,US,1721854740
188,justo daract,-33.8594,-65.1828,18.4,27,0,2.64,AR,1721854742
189,kalmunai,7.4167,81.8167,27.82,76,73,1.88,LK,1721854614
190,leer,53.2316,7.461,13.84,89,0,1.73,DE,1721854745
